Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Bricy,Orleans,ORE,LFOJ,France,47.987778,1.760556,412
Cork,Cork,ORK,EICK,Ireland,51.841269,-8.491111,502
Orly,Paris,ORY,LFPO,France,48.725278,2.359444,291
Östersund Airport,Östersund,OSD,ESNZ,Sweden,63.1944,14.5003,1233
Osijek,Osijek,OSI,LDOS,Croatia,45.462667,18.810156,290
Oskarshamn,Oskarshamn,OSK,ESMO,Sweden,57.350453,16.497972,96
Gardermoen,Oslo,OSL,ENGM,Norway,60.193917,11.100361,681
Redzikowo,Slupsk,OSP,EPSK,Poland,54.478889,17.1075,217
Mosnov,Ostrava,OSR,LKMT,Czech Republic,49.696292,18.111053,844
Oostende,Ostend,OST,EBOS,Belgium,51.198889,2.862222,13
Namsos Høknesøra Airport,Namsos,OSY,ENNM,Norway,64.4722,11.5786,7
Koszalin - Zegrze Pomorskie Airport,Koszalin,OSZ,EPKO,Poland,54.041,16.266,111
Henri Coanda,Bucharest,OTP,LROP,Romania,44.572161,26.102178,314
Oulu,Oulu,OUL,EFOU,Finland,64.930061,25.354564,47
Asturias,Aviles,OVD,LEAS,Spain,43.563567,-6.034622,416
Kidlington,Oxford,OXF,EGTK,United Kingdom,51.836944,-1.32,270
Zaporizhzhia International Airport,Zaporozhye,OZH,UKDE,Ukraine,47.867,35.3157,373
Moron Ab,Sevilla,OZP,LEMO,Spain,37.174917,-5.615944,285
Paderborn Lippstadt,Paderborn,PAD,EDLP,Germany,51.614089,8.616317,699
Paros,Paros,PAS,LGPA,Greece,37.010278,25.127778,121
Plovdiv,Plovdiv,PDV,LBPD,Bulgaria,42.067806,24.850833,597
Pardubice,Pardubice,PED,LKPD,Czech Republic,50.013419,15.738647,741
Peenemunde Airfield,Peenemunde,PEF,EDCP,Germany,54.157778,13.772778,7
Perugia,Perugia,PEG,LIRZ,Italy,43.095906,12.513222,693
Petrozavodsk Airport,Petrozavodsk,PES,ULPB,Russia,61.8852,34.1547,151
Pécs-Pogány Airport,Pécs-Pogány,PEV,LHPP,Hungary,45.990928,18.240983,1000
Penza Airport,Penza,PEZ,UWPP,Russia,53.1106,45.0211,614
Rivesaltes,Perpignan,PGF,LFMP,France,42.740442,2.870667,144
Bassillac,Perigueux,PGX,LFBX,France,45.198055,0.815556,328
Prestwick,Prestwick,PIK,EGPK,United Kingdom,55.509444,-4.586667,65
Biard,Poitiers,PIS,LFBI,France,46.587745,0.306666,423
Pajala Airport,Pajala,PJA,ESUP,Sweden,67.2456,23.0689,542
Alexion,Porto Heli,PKH,LGHL,Greece,37.298792,23.148986,2224
Kresty,Pskov,PKV,ULOO,Russia,57.783917,28.395614,154
Plymouth,Plymouth,PLH,EGHD,United Kingdom,50.422778,-4.105833,476
Palanga Intl,Palanga,PLQ,EYPA,Lithuania,55.973228,21.093856,33
Poltava,Poltava,PLV,UKHP,Ukraine,49.34261,34.23551,333
Parma,Parma,PMF,LIMP,Italy,44.824483,10.296367,161
Son Sant Joan,Palma de Mallorca,PMI,LEPA,Spain,39.55361,2.727778,24
Palermo,Palermo,PMO,LICJ,Italy,38.175958,13.091019,65
Pamplona,Pamplona,PNA,LEPP,Spain,42.770039,-1.646331,1504
Pantelleria,Pantelleria,PNL,LICG,Italy,36.816519,11.968864,635
Pajuostis,Panevezys,PNV,EYPP,Lithuania,55.729444,24.460833,197
Pori,Pori,POR,EFPO,Finland,61.461686,21.799983,44
Portoroz,Portoroz,POW,LJPZ,Slovenia,45.473353,13.614978,7
Cormeilles En Vexin,Pontoise,POX,LFPT,France,49.096647,2.040833,325
Lawica,Poznan,POZ,EPPO,Poland,52.421031,16.826325,308
Papa Westray Airport,Papa Westray,PPW,EGEP,United Kingdom,59.3517,-2.90028,91
Ruzyne,Prague,PRG,LKPR,Czech Republic,50.100833,14.26,1247
Pristina,Pristina,PRN,LYPR,Serbia,42.572778,21.035833,1789
Prerov,Prerov,PRV,LKPO,Czech Republic,49.425833,17.404722,676
Pisa,Pisa,PSA,LIRP,Italy,43.683917,10.39275,6
St. Peter-Ording Airport,Sankt Peter-Ording,PSH,EDXO,Germany,54.3089,8.68694,7
Perth Scone Airport,Perth,PSL,EGPT,United Kingdom,56.439722,-3.371389,392
Pescara,Pescara,PSR,LIBP,Italy,42.431656,14.181067,48
Pau Pyrenees,Pau,PUF,LFBP,France,43.38,-0.418611,616
Pula,Pula,PUY,LDPL,Croatia,44.893533,13.922192,274
Aktio,Preveza,PVK,LGPZ,Greece,38.925467,20.765311,11
Porto Santo,Porto Santo,PXO,LPPS,Portugal,33.073386,-16.349975,341
Andravida,Andravida,PYR,LGAD,Greece,37.920708,21.292583,55
Penzance Heliport,Penzance,PZE,EGHK,United Kingdom,50.1281,-5.51845,14
Piestany,Piestany,PZY,LZPP,Slovakia,48.625247,17.828444,545
Coningsby,Coningsby,QCY,EGXC,United Kingdom,53.093014,-0.166014,25
Duxford Aerodrome,Duxford,QFO,EGSU,United Kingdom,52.09083,0.13194,125
Gy?r-Pér International Airport,Gy?r,QGY,LHPR,Hungary,47.627097,17.808347,424
Wevelgem,Kortrijk-vevelgem,QKT,EBKT,Belgium,50.817222,3.204722,64
Lasham,Lasham,QLA,EGHL,United Kingdom,51.187167,-1.0335,618
Latina,Latina,QLT,LIRL,Italy,41.542436,12.909019,93
Neuchatel Airport,Neuchatel,QNC,LSGN,Switzerland,46.9575,6.86472,1427
Annemasse,Annemasse,QNJ,LFLI,France,46.191972,6.268386,1620
Charnay,Macon,QNX,LFLM,France,46.295103,4.795767,728
Padova,Padova,QPA,LIPU,Italy,45.395767,11.847903,44
Piacenza,Piacenza,QPZ,LIMS,Italy,44.913055,9.723333,456
Sabadell Airport,Sabadell,QSA,LELL,Spain,41.5209,2.10508,0
Salerno Pontecagnano Airport,Salerno,QSR,LIRI,Italy,40.6204,14.911294,123
Utti,Utti,QVY,EFUT,Finland,60.896394,26.938353,339
Aix Les Milles,Aix-les-milles,QXB,LFMA,France,43.505554,5.367778,367
RADOM,RADOM,QXR,EPRA,Poland,51.231978,21.124183,479
Gdynia,Gdynia,QYD,EPOK,Poland,54.5797,18.5172,144
Barberey,Troyes,QYR,LFQB,France,48.322136,4.016703,388
St Agnant,Rochefort,RCO,LFDN,France,45.887779,-0.983056,60
Rochester Airport,Rochester,RCS,EGTO,United Kingdom,51.351944,0.502778,426
Marcillac,Rodez,RDZ,LFCR,France,44.407869,2.482672,1910
Reggio Calabria,Reggio Calabria,REG,LICR,Italy,38.071206,15.651556,96
Røst Airport,Røst,RET,ENRS,Norway,67.5278,12.1033,7
Reus,Reus,REU,LERS,Spain,41.147392,1.167172,234
Regensburg HBF,Regensburg,RGB,REGE,Germany,49.022,12.1111,1200
Burgos Airport,Burgos,RGS,LEBG,Spain,42.357628,-3.620764,2945
Champagne,Reims,RHE,LFSR,France,49.31,4.05,312
Rhodes Diagoras,Rhodos,RHO,LGRP,Greece,36.405419,28.086192,17
Riga Intl,Riga,RIX,EVRA,Latvia,56.923611,23.971111,34
Rijeka,Rijeka,RJK,LDRI,Croatia,45.216889,14.570267,278
Logroño-Agoncillo Airport,Logroño-Agoncillo,RJL,LELO,Spain,42.4542,-2.32083,1161
Roskilde,Copenhagen,RKE,EKRK,Denmark,55.585567,12.131428,146
Laage,Laage,RLG,ETNL,Germany,53.918167,12.278333,138
Rimini,Rimini,RMI,LIPR,Italy,44.020292,12.611747,41
Ramstein Ab,Ramstein,RMS,ETAR,Germany,49.436911,7.600283,776
Ronneby,Ronneby,RNB,ESDF,Sweden,56.266667,15.265,191
Renaison,Roanne,RNE,LFLO,France,46.058334,4.001389,1106
Bornholm Ronne,Ronne,RNN,EKRN,Denmark,55.063267,14.759558,52
St Jacques,Rennes,RNS,LFRN,France,48.069508,-1.734794,124
Rostov Na Donu,Rostov,ROV,URRR,Russia,47.258208,39.818089,280
Roros,Roros,RRS,ENRO,Norway,62.578411,11.342347,2054
Rotterdam,Rotterdam,RTM,EHRD,Netherlands,51.956944,4.437222,-15
Central,Saratov,RTW,UWSS,Russia,51.334366,46.022952,152
Ryum Airport,Rørvik,RVK,ENRM,Norway,64.8383,11.1461,14
Rovaniemi,Rovaniemi,RVN,EFRO,Finland,66.564822,25.830411,642
Rivne International Airport,Rivne,RWN,UKLR,Ukraine,50.6071,26.1416,755
Staroselye Airport,Rybinsk,RYB,UUBK,Russia,58.1042,38.9294,423
Moss,Rygge,RYG,ENRY,Norway,59.378933,10.785389,174
Medis,Royan,RYN,LFCY,France,45.628056,-0.9725,72
Jasionka,Rzeszow,RZE,EPRZ,Poland,50.109958,22.019,675
Sabiha Gokcen,Istanbul,SAW,LTFJ,Turkey,40.898553,29.309219,312
Ampugnano,Siena,SAY,LIQS,Italy,43.256286,11.255036,634
Armor,St.-brieuc Armor,SBK,LFRT,France,48.537777,-2.854445,453
Sibiu,Sibiu,SBZ,LRSB,Romania,45.785597,24.091342,1496
Saarbrucken,Saarbruecken,SCN,EDDR,Germany,49.214553,7.109508,1058
Santiago,Santiago,SCQ,LEST,Spain,42.896333,-8.415144,1213
Stefan Cel Mare,Suceava,SCV,LRSV,Romania,47.6875,26.354056,1375
Syktyvkar,Syktyvkar,SCW,UUYY,Russia,61.64705,50.84505,342
Sundsvall Harnosand,Sundsvall,SDL,ESNN,Sweden,62.528125,17.443928,16
Anda Airport,Sandane,SDN,ENSD,Norway,61.83,6.10583,196
Santander,Santander,SDR,LEXJ,Spain,43.427064,-3.820006,16
Scatsta,Scatsta,SDZ,EGPM,United Kingdom,60.432778,-1.296111,81
Southend,Southend,SEN,EGMC,United Kingdom,51.571389,0.695556,49
Sanliurfa Airport,Sanliurfa,SFQ,LTCH,Turkey,37.094261,38.847103,1483
Skelleftea,Skelleftea,SFT,ESNS,Sweden,64.624772,21.076892,157
Sonderborg,Soenderborg,SGD,EKSB,Denmark,54.964367,9.791731,24
Sinop Airport,Sinop,SIC,LTCM,Turkey,42.0158,35.0664,20
Simferopol Intl,Simferopol,SIP,UKFF,Ukraine,45.052222,33.975139,639
Sion,Sion,SIR,LSGS,Switzerland,46.219592,7.326764,1585
Sarajevo,Sarajevo,SJJ,LQSA,Bosnia and Herzegovina,43.824583,18.331467,1708
Seinäjoki Airport,Seinäjoki / Ilmajoki,SJY,EFSI,Finland,62.6921,22.8323,302
Geiteryggen,Skien,SKE,ENSN,Norway,59.185,9.566944,463
Makedonia,Thessaloniki,SKG,LGTS,Greece,40.519725,22.97095,22
Skagen,Stokmarknes,SKN,ENSK,Norway,68.580833,15.026111,11
Skopje,Skopje,SKP,LWSK,Macedonia,41.961622,21.621381,781
Skrydstrup,Skrydstrup,SKS,EKSP,Denmark,55.225553,9.263931,141
Skiros,Skiros,SKU,LGSY,Greece,38.967553,24.487228,44
Saransk Airport,Saransk,SKX,UWPS,Russia,54.1251,45.2123,676
Sliac,Sliac,SLD,LZSL,Slovakia,48.637839,19.134108,1043
Salamanca,Salamanca,SLM,LESA,Spain,40.952117,-5.501986,2595
Samos,Samos,SMI,LGSM,Greece,37.689999,26.911667,19
Samedan,Samedan,SMV,LSZS,Switzerland,46.534075,9.884106,5600
Shannon,Shannon,SNN,EINN,Ireland,52.701978,-8.924817,46
Montoir,St.-nazaire,SNR,LFRZ,France,47.312189,-2.149181,13
Sármellék International Airport,Sármellék,SOB,LHSM,Hungary,46.686389,17.159056,408
Sofia,Sofia,SOF,LBSF,Bulgaria,42.695194,23.406167,1742
Sogndal Airport,Sogndal,SOG,ENSG,Norway,61.1561,7.13778,0
Sorkjosen Airport,Sorkjosen,SOJ,ENSR,Norway,69.7868,20.9594,16
Soderhamn Airport,Soderhamn,SOO,ESCL,Sweden,61.261667,17.098056,94
Sodankyla,Sodankyla,SOT,EFSO,Finland,67.395033,26.619133,602
Southampton,Southampton,SOU,EGHI,United Kingdom,50.950261,-1.356803,44
Stronsay Airport,Stronsay,SOY,EGER,United Kingdom,59.1553,-2.64139,39
Solenzara,Solenzara,SOZ,LFKS,France,41.924416,9.406,28
Spangdahlem Ab,Spangdahlem,SPM,ETAD,Germany,49.972667,6.6925,1197
Split,Split,SPU,LDSP,Croatia,43.538944,16.297964,79
Storuman Airport,Mohed,SQO,ESUD,Sweden,64.960894,17.696583,915
Siauliai Intl,Siauliai,SQQ,EYSA,Lithuania,55.893886,23.394975,443
Sorstokken,Stord,SRP,ENSO,Norway,59.791925,5.34085,160
Stokka,Sandnessjoen,SSJ,ENST,Norway,65.956828,12.468944,56
Stauning,Stauning,STA,EKVJ,Denmark,55.990122,8.353906,17
Stansted,London,STN,EGSS,United Kingdom,51.885,0.235,348
Stuttgart,Stuttgart,STR,EDDS,Germany,48.689878,9.221964,1276
Shpakovskoye,Stavropol,STW,URMT,Russia,45.109165,42.112778,1486
Lamezia Terme,Lamezia,SUF,LICA,Italy,38.905394,16.242269,39
Satu Mare,Satu Mare,SUJ,LRSM,Romania,47.703275,22.8857,405
Sola,Stavanger,SVG,ENZV,Norway,58.876778,5.637856,29
Svolvær Helle Airport,Svolvær,SVJ,ENSH,Norway,68.2433,14.6692,27
Savonlinna,Savonlinna,SVL,EFSA,Finland,61.943064,28.945136,311
Sheremetyevo,Moscow,SVO,UUEE,Russia,55.972642,37.414589,622
Sevilla,Sevilla,SVQ,LEZL,Spain,37.418,-5.893106,111
Swansea,Swansea,SWS,EGFH,United Kingdom,51.605333,-4.067833,299
Entzheim,Strasbourg,SXB,LFST,France,48.538319,7.628233,505
Schonefeld,Berlin,SXF,EDDB,Germany,52.380001,13.5225,157
Sligo,Sligo,SXL,EISG,Ireland,54.280214,-8.599206,11
Stornoway,Stornoway,SYY,EGPO,United Kingdom,58.215556,-6.331111,26
Samsun-Çar?amba Airport,Samsun,SZF,LTFH,Turkey,41.2545,36.5671,18
Salzburg,Salzburg,SZG,LOWS,Austria,47.793304,13.004333,1411
Schwerin Parchim,Parchim,SZW,EDOP,Germany,53.426997,11.783436,166
Goleniow,Szczecin,SZZ,EPSC,Poland,53.584731,14.902206,154
Grottaglie,Grottaglie,TAR,LIBG,Italy,40.517514,17.403212,215
Tatry,Poprad,TAT,LZTT,Slovakia,49.073594,20.241142,2356
Tartu,Tartu,TAY,EETU,Estonia,58.307461,26.690428,219
Tambow,Tambow,TBW,UUOT,Russia,52.81,41.48,126
Cataloi,Tulcea,TCE,LRTC,Romania,45.062486,28.714311,200
Thisted,Thisted,TED,EKTS,Denmark,57.0688,8.705225,23
Tekirda? Çorlu Airport,Çorlu,TEQ,LTBU,Turkey,41.13825,27.919094,574
Podgorica,Podgorica,TGD,LYPG,Montenegro,42.359392,19.251894,141
Transilvania Targu Mures,Tirgu Mures,TGM,LRTM,Romania,46.467714,24.412525,963
Tempelhof,Berlin,THF,EDDI,Germany,52.473025,13.403944,167
Trollhattan Vanersborg,Trollhattan,THN,ESGT,Sweden,58.318056,12.345,137
Tirana Rinas,Tirana,TIA,LATI,Albania,41.414742,19.720561,126
Tivat,Tivat,TIV,LYTV,Montenegro,42.404664,18.723286,20
Turku,Turku,TKU,EFTU,Finland,60.514142,22.262808,161
Treuchtlingen BF,Treuchtlingen,TLG,TREU,Germany,49.04,11.081944,1200
Tallinn,Tallinn-ulemiste International,TLL,EETN,Estonia,59.413317,24.832844,131
Le Palyvestre,Hyeres,TLN,LFTH,France,43.0973,6.14603,7
Blagnac,Toulouse,TLS,LFBO,France,43.629075,1.363819,499
Tampere Pirkkala,Tampere,TMP,EFTP,Finland,61.414147,23.604392,390
Toussus Le Noble,Toussous-le-noble,TNF,LFPN,France,48.751922,2.106189,538
Ternopol,Ternopol,TNL,UKLT,Ukraine,49.31,25.42,1073
Torrejon,Madrid,TOJ,LETO,Spain,40.496747,-3.445872,2026
Langnes,Tromso,TOS,ENTC,Norway,69.683333,18.918919,31
Trapani Birgi,Trapani,TPS,LICT,Italy,37.911403,12.487961,24
Vaernes,Trondheim,TRD,ENVA,Norway,63.457556,10.92425,56
Tiree,Tiree,TRE,EGPU,United Kingdom,56.499167,-6.869167,38
Torp,Sandefjord,TRF,ENTO,Norway,59.186703,10.258628,286
Torino,Torino,TRN,LIMF,Italy,45.200761,7.649631,989
Ronchi Dei Legionari,Ronchi De Legionari,TRS,LIPQ,Italy,45.8275,13.472222,37
Treviso,Treviso,TSF,LIPH,Italy,45.6484,12.194422,59
Tresco Heliport,Tresco,TSO,EGHT,United Kingdom,49.945556,-6.331389,20
Traian Vuia,Timisoara,TSR,LRTR,Romania,45.809861,21.337861,348
Tortoli,Tortoli,TTB,LIET,Italy,39.918761,9.682981,23
Val De Loire,Tours,TUF,LFOT,France,47.432222,0.727606,357
Tegel,Berlin,TXL,EDDT,Germany,52.559686,13.287711,122
Torsby Airport,Torsby,TYF,ESST,Sweden,60.157622,12.991269,393
Trabzon,Trabzon,TZX,LTCG,Turkey,40.995108,39.789728,104
Adana-Incirlik Airbase,Adana,UAB,KUAB,Turkey,37.00028,35.41833,500
Uzhhorod International Airport,Uzhgorod,UDJ,UKLU,Ukraine,48.634278,22.263356,383
Pluguffan,Quimper,UIP,LFRQ,France,47.974981,-4.167786,297
Lutsk,Lutsk,UKC,UKLC,Ukraine,50.6833,25.4833,774
Belbek Sevastopol International Airport,Sevastopol,UKS,UKFB,Ukraine,44.691431,33.57567,344
Barataevka,Ulyanovsk,ULV,UWLL,Russia,54.268299,48.2267,463
Ulyanovsk East Airport,Ulyanovsk,ULY,UWLW,Russia,54.401,48.8027,252
Umea,Umea,UME,ESNU,Sweden,63.791828,20.282758,24
Unst Airport,Unst,UNT,EGPW,United Kingdom,60.7472,-0.85385,0
Kuressaare,Kuressaare,URE,EEKE,Estonia,58.229883,22.509494,14
Vallee De Seine,Rouen,URO,LFOP,France,49.384172,1.1748,512
Kursk East Airport,Kursk,URS,UUOK,Russia,51.7506,36.2956,686
Usak Airport,Usak,USQ,LTBO,Turkey,38.681478,29.471675,2897
Soesterberg,Soesterberg,UTC,EHSB,Netherlands,52.1273,5.27619,66
Bugulma Airport,Bugulma,UUA,UWKB,Russia,54.64,52.8017,991
Vaasa,Vaasa,VAA,EFVA,Finland,63.05065,21.762175,19
Chabeuil,Valence,VAF,LFLU,France,44.921594,4.9699,525
Van,Van,VAN,LTCI,Turkey,38.468219,43.3323,5480
Varna,Varna,VAR,LBWN,Bulgaria,43.232072,27.825106,230
Sivas,Sivas,VAS,LTAR,Turkey,39.813828,36.903497,5236
Svartnes Airport,Vardø,VAW,ENSS,Norway,70.355392,31.044889,42
Montichiari,Brescia,VBS,LIPO,Italy,45.428889,10.330556,356
Visby,Visby,VBY,ESSV,Sweden,57.662797,18.346211,164
Venezia Tessera,Venice,VCE,LIPZ,Italy,45.505278,12.351944,7
Leirin,Fagernes,VDB,ENFG,Norway,61.015556,9.288056,2697
Airport,Vadso,VDS,ENVD,Norway,70.065,29.844,127
Vologda Airport,Vologda,VGD,ULWW,Russia,59.281667,39.946667,387
Vigo,Vigo,VGO,LEVX,Spain,42.2318,-8.626775,855
Vilhelmina,Vilhelmina,VHM,ESNV,Sweden,64.579083,16.833575,1140
Charmeil,Vichy,VHY,LFLV,France,46.169689,3.403736,817
Vicenza,Vicenza,VIC,LIPT,Italy,45.573411,11.52955,128
Schwechat,Vienna,VIE,LOWW,Austria,48.110278,16.569722,600
Vinnitsa,Vinnitsa,VIN,UKWW,Ukraine,49.2433,28.6063,900
Vitoria,Vitoria,VIT,LEVT,Spain,42.882836,-2.724469,1682
Vnukovo,Moscow,VKO,UUWW,Russia,55.591531,37.261486,685
Vorkuta Airport,Vorkuta,VKT,UUYW,Russia,67.4886,63.9931,604
Valencia,Valencia,VLC,LEVC,Spain,39.489314,-0.481625,225
Valladolid,Valladolid,VLL,LEVD,Spain,41.706111,-4.851944,2775
Velikiye Luki,Velikiye Luki,VLU,ULOL,Russia,56.381667,30.61,328
Meucon,Vannes,VNE,LFRV,France,47.723303,-2.718561,440
Vilnius Intl,Vilnius,VNO,EYVI,Lithuania,54.634133,25.285767,646
Gumrak,Volgograd,VOG,URWW,Russia,48.782528,44.345544,482
Nea Anchialos,Nea Anghialos,VOL,LGBL,Greece,39.219619,22.794339,83
Chertovitskoye,Voronezh,VOZ,UUOO,Russia,51.814211,39.229589,514
Varkaus,Varkaus,VRK,EFVR,Finland,62.171111,27.868611,286
Vila Real,Vila Real,VRL,LPVR,Portugal,41.274334,-7.720472,1805
Villafranca,Villafranca,VRN,LIPX,Italy,45.395706,10.888533,239
Værøy Heliport,Værøy,VRY,ENVR,Norway,67.6667,12.6833,36
Luhansk International Airport,Lugansk,VSG,UKCW,Ukraine,48.4174,39.3741,636
Vasteras,Vasteras,VST,ESOW,Sweden,59.589444,16.633611,21
Vitebsk,Vitebsk,VTB,UMII,Belarus,55.1265,30.349639,683
Ventspils International Airport,Ventspils,VTS,EVVA,Latvia,57.357778,21.544167,19
Veliky Ustyug,Veliky Ustyug,VUS,ULWU,Russia,60.788333,46.26,331
Kronoberg,Vaxjo,VXO,ESMX,Sweden,56.929144,14.727994,610
Waterford,Waterford,WAT,EIWF,Ireland,52.1872,-7.086964,119
Okecie,Warsaw,WAW,EPWA,Poland,52.16575,20.967122,362
Wick,Wick,WIC,EGPC,United Kingdom,58.458889,-3.093056,126
Warsaw Modlin,Warsaw,WMI,EPMO,Poland,52.451111,20.651667,341
Woensdrecht,Woensdrecht,WOE,EHWO,Netherlands,51.449092,4.342031,63
Strachowice,Wroclaw,WRO,EPWR,Poland,51.102683,16.885836,404
Westray Airport,Westray,WRY,EGEW,United Kingdom,59.3503,-2.95,29
Waddington,Waddington,WTN,EGXW,United Kingdom,53.166167,-0.523811,231
Wilhelmshaven Mariensiel,Wilhelmshaven,WVN,EDWI,Germany,53.504833,8.053333,16
Wurzburg HBF,Wurzburg,WZB,WURZ,Germany,49.7999,9.95555,1000
La Teste De Buch,Arcachon,XAC,LFCH,France,44.59639,-1.110833,49
Ceyzeriat,Bourg,XBK,LFHS,France,46.20089,5.292028,857
Champforgeuil,Chalon,XCD,LFLH,France,46.826108,4.817633,623
Vatry,Chalons,XCR,LFOK,France,48.776072,4.184492,587
Hamburg Finkenwerder,Hamburg,XFW,EDHI,Germany,53.535886,9.837025,22
Montbeugny,Moulins,XMU,LFHY,France,46.534581,3.423725,915
Jerez,Jerez,XRY,LEJR,Spain,36.744622,-6.060111,93
Tarare,Vilefrance,XVF,LFHV,France,45.901947,4.634906,1076
Yenisehir Airport,Yenisehir,YEI,LTBR,Turkey,40.255208,29.562569,764
Yeovilton,Yeovilton,YEO,EGDY,United Kingdom,51.009358,-2.638819,75
Zadar,Zadar,ZAD,LDZD,Croatia,44.108269,15.346697,289
Zagreb,Zagreb,ZAG,LDZA,Croatia,45.742931,16.068778,353
Zaragoza Ab,Zaragoza,ZAZ,LEZG,Spain,41.666242,-1.041553,863
Arnsberg Menden,Arnsberg,ZCA,EDLA,Germany,51.483333,7.899333,794
Celle,Celle,ZCN,ETHC,Germany,52.5912,10.022133,129
Air Base,Interlaken,ZIN,LSMI,Switzerland,46.6766,7.87908,1893
Locarno Airport,Locarno,ZJI,LSZL,Switzerland,46.1608,8.87861,650
Hanau Aaf,Hanau,ZNF,ETID,Germany,50.169189,8.961586,368
Koblenz Winningen,Koblenz,ZNV,EDRK,Germany,50.3255,7.528667,640
Speyer,Speyer,ZQC,EDRY,Germany,49.302776,8.451195,312
Trier Fohren,Trier,ZQF,EDRT,Germany,49.8635,6.788167,665
Donaueschingen Villingen,Donaueschingen,ZQL,EDTD,Germany,47.973331,8.522223,2231
Zurich,Zurich,ZRH,LSZH,Switzerland,47.464722,8.549167,1416
Stendal Borstel,Stendal,ZSN,EDOV,Germany,52.627778,11.818333,184
Dionysios Solomos,Zakynthos,ZTH,LGZA,Greece,37.750853,20.88425,15
Zhytomyr,Zhytomyr,ZTR,UKKV,Ukraine,50.270556,28.738611,0
